,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
5654,7068811813,2194,False,25,20,10,4,1139,44,831,18,0,0,0,32,38,28,11,6,998,51,887,16,31,0,0,0,403.5,-270.3,1,2,1,1,0,1,37,20
5655,7068090918,2931,True,15,28,2,16,951,40,1167,24,0,0,0,42,40,32,6,10,1379,58,928,21,41,0,0,0,-486.8,-197.1,8,0,3,0,3,0,303,168
5656,7168852519,2446,True,52,36,12,18,1479,29,920,19,7,4,32,32,39,20,21,12,986,35,659,19,32,2,7,17,613.9,462.6,2,2,2,0,2,0,11,6
5657,7090340391,2680,False,22,27,4,6,920,51,829,21,0,0,0,39,27,23,9,9,898,32,913,20,33,0,0,0,-502.0,-185.0,4,1,3,0,3,0,87,88
5658,7198507568,2598,False,45,14,6,12,1189,36,1989,19,10,12,21,34,58,50,6,17,1359,38,1280,19,22,17,14,24,564.1,991.2,2,0,0,1,0,1,15,46
5659,7216562738,1346,True,33,17,0,4,536,22,430,11,0,3,3,16,25,16,0,2,408,21,239,10,11,0,5,2,452.0,978.6,0,0,0,0,0,0,3,4
5660,7095943730,2563,False,37,22,6,6,1068,25,1033,20,0,0,0,36,38,31,14,7,1094,48,1085,20,36,0,0,0,-17.1,308.6,3,4,1,2,1,2,103,37
5661,7224492598,3196,True,48,47,11,24,1929,37,1493,24,7,10,44,36,32,31,17,17,1835,41,1127,24,35,10,6,18,-1258.8,-845.3,0,0,1,2,1,2,18,14
5662,7195918903,2373,True,15,40,10,8,937,30,1198,19,7,12,7,31,43,14,2,5,934,37,773,19,31,1,0,9,168.4,153.1,4,3,2,0,2,0,13,109
5663,7171605046,2019,False,65,25,6,5,817,22,790,13,5,7,13,12,28,23,7,8,772,25,709,16,14,0,12,11,1119.0,882.2,2,1,0,0,0,0,11,11
5664,7208010297,1563,True,32,24,0,4,628,32,461,12,2,6,9,10,20,19,0,5,519,21,504,13,9,1,0,3,1520.5,896.4,1,0,0,0,0,0,4,6
5665,7052952122,1773,False,42,22,14,5,679,32,355,14,0,0,0,21,37,18,16,3,656,30,556,14,26,0,0,0,691.3,-29.6,2,1,0,1,0,1,16,9
5666,7219184187,1924,False,30,16,7,6,750,26,484,15,14,2,10,20,32,31,0,1,749,21,417,12,15,1,6,6,524.4,288.1,1,3,0,0,0,0,5,6
5667,7061177167,1511,True,51,20,16,9,776,51,538,13,0,0,0,23,32,13,22,10,600,35,388,12,23,0,0,0,-265.5,520.6,2,1,1,0,1,0,31,76
